genename	geneID	chr	strand	start	stop
Imp4	NM_178601	chr1	+	34496734	34502592
Grinl1a	NM_178602	chr9	-	71326250	71333728
Mrpl50	NM_178603	chr4	-	49525468	49533947
Txnl4a	NM_178604	chr18	+	80403568	80409471
Nop16	NM_178605	chr13	-	54685551	54691433
Reep3	NM_178606	chr10	-	66474255	66559605
Rnf24	NM_178607	chr2	-	131124223	131178561
Reep1	NM_178608	chr6	+	71657847	71760696
E2f7	NM_178609	chr10	+	110182529	110224440
Krr1	NM_178610	chr10	+	111409839	111424139
Cnpy4	NM_178612	chr5	+	138628762	138635122
4933433P14Rik	NM_178613	chr12	+	106923628	106941267
Samm50	NM_178614	chr15	+	84022662	84044733
Rgmb	NM_178615	chr17	-	15943216	15963530
Psmd11	NM_178616	chr11	+	80242104	80285635
Necab1	NM_178617	chr4	-	14879394	15076261
2310040C09Rik	NM_178618	chr11	+	61497944	61523452
1810026J23Rik	NM_178619	chr9	+	21397165	21400391
Mfsd11	NM_178620	chr11	+	116715328	116736951
Phyhipl	NM_178621	chr10	-	70020433	70062059
2010005J08Rik	NM_178623	chr11	-	5613419	5641179
Fbxl2	NM_178624	chr9	-	113886075	113935947
Tmem209	NM_178625	chr6	-	30431232	30459687
Cdc42se2	NM_178626	chr11	-	54531003	54601138
Poldip3	NM_178627	chr15	-	82956407	82979725
Atl1	NM_178628	chr12	+	70994255	71065018
4930579E17Rik	NM_178629	chr12	+	37108105	37416031
Agbl3	NM_178630	chr6	+	34730514	34807932
Ralyl	NM_178631	chr3	+	13471681	14181972
Ints7	NM_178632	chr1	+	193399668	193445570
Klhl2	NM_178633	chr8	-	67218658	67373716
Uvrag	NM_178635	chr7	-	106035252	106289585
Kat5	NM_178637	chr19	-	5603417	5610044
Tmem108	NM_178638	chr9	-	103386768	103664130
Sfxn5	NM_178639	chr6	-	85163048	85283413
B3galnt2	NM_178640	chr13	+	14046940	14091335
Inpp5f	NM_178641	chr7	+	135754878	135839950
Ano1	NM_178642	chr7	-	151774555	151924383
C230052I12Rik	NM_178643	chr7	-	36177170	36181811
Oaf	NM_178644	chr9	-	43029360	43047885
Blmh	NM_178645	chr11	+	76759268	76800878
Tigd5	NM_178646	chr15	+	75740190	75744965
Cggbp1	NM_178647	chr16	+	64851835	64859317
Ubxn8	NM_178648	chr8	-	34730057	34752448
Tbc1d10c	NM_178650	chr19	-	4184356	4191047
Slc30a9	NM_178651	chr5	+	67698268	67747384
Supt3h	NM_178652	chr17	+	44914119	45256233
Sccpdh	NM_178653	chr1	+	181598361	181617315
Pkn2	NM_178654	chr3	-	142456422	142544951
Ank2	NM_178655	chr3	-	126624524	126701403
A530088H08Rik	NM_178656	chr11	+	66725492	66742202
Oog1	NM_178657	chr12	+	88943637	88949795
6330500D04Rik	NM_178658	chr13	+	24706478	24797870
Jmjd4	NM_178659	chr11	+	59263589	59271570
Rbms3	NM_178660	chr9	-	116487226	117161597
Creb3l2	NM_178661	chr6	-	37281020	37392120
Atcay	NM_178662	chr10	-	80667257	80693524
Bend7	NM_178663	chr2	+	4639190	4721971
B3gntl1	NM_178664	chr11	-	121478085	121534453
Lpp	NM_178665	chr16	+	24393575	24981116
E430004N04Rik	NM_178666	chr10	+	28388127	28602555
Tfdp2	NM_178667	chr9	+	96096693	96224065
E430028B21Rik	NM_178668	chr14	-	27483602	27489405
Clrn3	NM_178669	chr7	-	142703138	142720337
8030462N17Rik	NM_178670	chr18	-	77872019	77952704
Ubxn10	NM_178671	chr4	-	138274452	138293082
Scfd2	NM_178672	chr5	-	74852284	74927725
Fstl5	NM_178673	chr3	+	75878476	76513927
Fbxl21	NM_178674	chr13	+	56623894	56639147
Slc35f1	NM_178675	chr10	+	52410313	52831210
Entpd3	NM_178676	chr9	+	120448960	120477435
Sec22c	NM_178677	chr9	-	121592145	121614140
Lrrtm3	NM_178678	chr10	-	63391244	63553003
Zfp365	NM_178679	chr10	-	67348852	67375410
Unc45b	NM_178680	chr11	+	82724832	82756908
Dgkb	NM_178681	chr12	+	38607291	39359997
4933426M11Rik	NM_178682	chr12	+	81891545	81981820
Depdc1b	NM_178683	chr13	+	109106530	109179751
Mapk1ip1l	NM_178684	chr14	+	47917952	47942766
Pcdh20	NM_178685	chr14	-	88865863	88871203
Cep120	NM_178686	chr18	-	53841376	53904201
Ablim1	NM_178688	chr19	-	57107753	57290522
6430537H07Rik	NM_178689	chr19	+	59017944	59045911
Rab3gap1	NM_178690	chr1	+	129765386	129840453
Yod1	NM_178691	chr1	+	132613903	132618634
C130074G19Rik	NM_178692	chr1	-	186695804	186706915
Coq4	NM_178693	chr2	+	29643862	29653263
Zer1	NM_178694	chr2	-	29952802	29980035
Prrg4	NM_178695	chr2	-	104670897	104689831
Slc25a44	NM_178696	chr3	-	88214419	88229040
Clca5	NM_178697	chr3	-	144733228	144762005
Pigv	NM_178698	chr4	-	133216301	133228518
B930041F14Rik	NM_178699	chr4	+	155068580	155070592
Grsf1	NM_178700	chr5	-	89088261	89105196
Lrrc8d	NM_178701	chr5	+	106129885	106244228
D930005D10Rik	NM_178702	chr5	-	142960794	143026996
Slc6a1	NM_178703	chr6	+	114232767	114267516
Dpy19l3	NM_178704	chr7	-	36473852	36539427
Luzp2	NM_178705	chr7	+	62090614	62524258
Siglech	NM_178706	chr7	+	63023547	63034203
Zfp592	NM_178707	chr7	+	88138515	88187581
Pcid2	NM_178708	chr8	-	13077524	13105428
Rnf214	NM_178709	chr9	-	45671773	45714955
Snf1lk2	NM_178710	chr9	-	50700905	50817134
Plscr4	NM_178711	chr9	+	92352216	92387354
Aldh8a1	NM_178713	chr10	+	21097105	21116384
Lrfn5	NM_178714	chr12	+	62625618	62946245
Tmem30b	NM_178715	chr12	-	74644100	74647376
Tnpo1	NM_178716	chr13	-	99612035	99696336
Rxfp3	NM_178717	chr15	-	10963471	10967723
Smcr7l	NM_178719	chr15	+	80064538	80083154
Zpld1	NM_178720	chr16	-	55225287	55283350
Cadm2	NM_178721	chr16	-	66661318	67621151
Zfp438	NM_178722	chr18	-	5210028	5334355
Zfp385b	NM_178723	chr2	-	77248688	77654873
Harbi1	NM_178724	chr2	+	91551082	91561723
Lrrc4c	NM_178725	chr2	+	97307861	97471821
Ppm1l	NM_178726	chr3	+	69120823	69359318
D630039A03Rik	NM_178727	chr4	-	57921255	57929136
Napepld	NM_178728	chr5	-	21168720	21207149
Fbxl5	NM_178729	chr5	-	44147144	44173352
Tmprss11f	NM_178730	chr5	-	86950250	87061449
Lrrtm4	NM_178731	chr6	+	79968888	79975903
Zfp324	NM_178732	chr7	+	13551217	13559171
Zfp473	NM_178734	chr7	-	51986855	52003987
A730069N07Rik	NM_178735	chr8	-	37998637	38015490
Elmod2	NM_178736	chr8	-	85836530	85856370
AW551984	NM_178737	chr9	-	39394980	39411709
Prss35	NM_178738	chr9	+	86636433	86650678
Wdr40b	NM_178739	chrX	-	42139748	42143328
Slitrk4	NM_178740	chrX	-	61522618	61530171
Klhl8	NM_178741	chr5	-	104291068	104340205
Slc26a11	NM_178743	chr11	+	119216920	119242390
Zbtb1	NM_178744	chr12	+	77471263	77489437
6330442E10Rik	NM_178745	chr12	-	80062786	80108297
Slc38a9	NM_178746	chr13	+	113450989	113523106
Gulo	NM_178747	chr14	-	66605623	66628045
Egflam	NM_178748	chr15	-	7156119	7348304
Stk32a	NM_178749	chr18	+	43367350	43477135
Ss18l1	NM_178750	chr2	+	179777231	179804906
Orai2	NM_178751	chr5	-	136623331	136646526
D330012F22Rik	NM_178752	chr7	+	87377777	87386306
Spin4	NM_178753	chrX	-	92217845	92222021
Arhgap6	NM_178754	chrX	+	165474560	165742367
Agbl2	NM_178755	chr2	+	90622900	90656388
E130309F12Rik	NM_178756	chr4	+	49072333	49353133
Irf2bp1	NM_178757	chr7	+	19589407	19592112
Acsm5	NM_178758	chr7	+	126669778	126686874
Timd4	NM_178759	chr11	+	46624300	46657835
Gpr107	NM_178760	chr2	+	31007825	31072087
Zfp672	NM_178761	chr11	-	58128717	58136615
Fam113a	NM_178762	chr2	-	130243419	130250014
Zfp750	NM_178763	chr11	-	121372291	121380616
Fam168a	NM_178764	chr7	+	107855234	107990144
5730410E15Rik	NM_178765	chr15	-	44503402	44584004
Slc25a40	NM_178766	chr5	+	8422919	8454793
Tmem195	NM_178767	chr12	+	37968225	38308519
Tmem72	NM_178768	chr6	-	116642742	116666776
Aadacl1	NM_178772	chr3	+	27081926	27143833
Ano4	NM_178773	chr10	-	88411738	88720535
Prr18	NM_178774	chr17	+	8533223	8536978
Rps6kc1	NM_178775	chr1	-	192619947	192735613
BC049715	NM_178776	chr6	+	136777368	136789075
Nhlh2	NM_178777	chr3	+	101814077	101818429
A930041I02Rik	NM_178778	chr2	-	38921734	39046251
Rnf152	NM_178779	chr1	-	107176507	107253247
Ric3	NM_178780	chr7	-	116190246	116226838
Bcorl1	NM_178782	chrX	+	45694534	45759905
A430107D22Rik	NM_178785	chr17	-	32527605	32540526
Skint4	NM_178786	chr4	+	111754074	111840681
Iffo1	NM_178787	chr6	+	125095262	125111800
Dctd	NM_178788	chr8	+	49195350	49227014
Tmem117	NM_178789	chr15	+	94459615	94926528
E130203B14Rik	NM_178791	chr14	+	33669941	33752675
Ccbe1	NM_178793	chr18	-	66216509	66451492
Zrsr2	NM_178794	chrX	-	160388317	160396573
Hisppd2a	NM_178795	chr2	-	121136296	121176749
Far2	NM_178797	chr6	+	147995937	148131282
Slc7a6	NM_178798	chr8	+	108692807	108722604
6030446N20Rik	NM_178801	chr18	-	12140447	12279989
Trim65	NM_178802	chr11	-	115986021	115992442
Aebp2	NM_178803	chr6	+	140571183	140604002
Slit2	NM_178804	chr5	+	48374410	48697017
Ttc15	NM_178811	chr12	-	29375880	29435296
Epsti1	NM_178825	chr14	+	78304213	78363985
Zfp277	NM_178845	chr12	-	41042146	41172359
Sirt5	NM_178848	chr13	+	43466084	43490572
Vps39	NM_178851	chr2	-	120143272	120178851
Vps39	NM_147153	chr2	-	120143272	120178851
Cnot6l	NM_178854	chr5	-	96504756	96590774
Prss7	NM_178855	chr16	-	78953708	79091342
Gins2	NM_178856	chr8	-	123105165	123112943
Ttll1	NM_178869	chr15	-	83314198	83341307
Hs3st3a1	NM_178870	chr11	+	64248833	64336337
Trim36	NM_178872	chr18	-	46325498	46372179
Adck2	NM_178873	chr6	+	39523907	39538768
Tmcc2	NM_178874	chr1	-	134252891	134287858
Nhedc2	NM_178877	chr3	+	134970706	135005498
Hadha	NM_178878	chr5	-	30444843	30481488
B3gnt9	NM_178879	chr8	-	107776537	107779051
Son	NM_178880	chr16	+	91648113	91679437
D2hgdh	NM_178882	chr1	+	95721838	95748751
Scyl1bp1	NM_178883	chr1	-	165315039	165333741
Obsl1	NM_178884	chr1	-	75482399	75502950
AI182371	NM_178885	chr2	-	34939565	34956180
Ldlrad3	NM_178886	chr2	-	101790357	102026534
Fibcd1	NM_178887	chr2	-	31668809	31701525
Garnl3	NM_178888	chr2	-	32841885	32942724
Abtb2	NM_178890	chr2	+	103406470	103558580
Prmt6	NM_178891	chr3	-	110051463	110053916
Tiparp	NM_178892	chr3	+	65332369	65359440
Coro2a	NM_178893	chr4	-	46550430	46579312
AA792892	NM_178894	chr5	+	94806364	94813359
Dcun1d4	NM_178896	chr5	+	73882321	73952025
Tyw1	NM_178897	chr5	+	130731551	130761256
AI894139	NM_178898	chr6	+	47903444	47915296
Hepacam2	NM_178899	chr6	-	3407088	3444498
Prkd2	NM_178900	chr7	+	17428483	17455810
AI467606	NM_178901	chr7	+	134234932	134237563
AI593442	NM_178906	chr9	-	52481146	52487534
Mapkapk3	NM_178907	chr9	-	107157257	107192110
Fam26e	NM_178908	chr10	-	33811157	33816325
Wdr92	NM_178909	chr11	+	17111895	17135203
Ankmy2	NM_178910	chr12	+	36883776	36914802
Pld4	NM_178911	chr12	+	113998865	114007197
Fancm	NM_178912	chr12	+	66176594	66233045
Spata7	NM_178914	chr12	+	99866393	99908024
Tmem179	NM_178915	chr12	-	113738394	113749371
Rfesd	NM_178916	chr13	-	76138982	76156008
Utp15	NM_178918	chr13	-	99016799	99032915
Lmf2	NM_178919	chr15	-	89181438	89186002
Mal2	NM_178920	chr15	+	54403039	54434393
Hic2	NM_178922	chr16	+	17233631	17263523
Sfrs15	NM_178923	chr16	-	90229384	90284710
Upk1b	NM_178924	chr16	-	38773296	38800316
Nsun3	NM_178925	chr16	-	62734677	62786542
AI662250	NM_178926	chr17	-	56853360	56856263
Afap1l1	NM_178928	chr18	-	61889915	61946316
Kazald1	NM_178929	chr19	+	45150628	45153779
Gbf1	NM_178930	chr19	+	46227047	46361000
Tnfrsf14	NM_178931	chr4	-	154296318	154302186
Aoc2	NM_178932	chr11	+	101186376	101191008
Ostb	NM_178933	chr9	-	65260559	65270580
Slc2a12	NM_178934	chr10	+	22364936	22424091
4932441K18Rik	NM_178935	chrX	-	159216850	159267267
Tmem56	NM_178936	chr3	-	120904927	120966317
Pdrg1	NM_178939	chr2	-	152834625	152841099
Atad3a	NM_179203	chr4	-	155114749	155135178
Reep4	NM_180588	chr14	+	70945429	70948739
Ube2q2	NM_180600	chr9	+	54997185	55055335
Trappc9	NM_180662	chr15	-	72420049	72891634
Gars	NM_180678	chr6	+	54988049	55029498
Ccdc79	NM_180958	chr8	-	106970618	107033804
Nnat	NM_180960	chr2	+	157385846	157388255
Nnat	NM_010923	chr2	+	157385846	157388255
Cyhr1	NM_180962	chr15	-	76488570	76490547
Foxn2	NM_180974	chr17	+	88840051	88889873
Lphn1	NM_181039	chr8	+	86424040	86465853
Atpaf1	NM_181040	chr4	+	115457626	115484919
Mylip	NM_181043	chr13	+	45485325	45505879
Caln1	NM_181045	chr5	+	130845327	131316515
A130010J15Rik	NM_181048	chr1	+	194999779	195002496
Cenpk	NM_181061	chr13	+	105019046	105037213
AA881470	NM_181066	chr5	+	141181006	141195288
Rab18	NM_181070	chr18	+	6765230	6790229
Tanc2	NM_181071	chr11	+	105451299	105790617
Myo1e	NM_181072	chr9	+	70055157	70247874
Lingo1	NM_181074	chr9	-	56466281	56533060
2610524H06Rik	NM_181075	chr5	-	115271945	115273477
Heph	NM_181273	chrX	+	93651711	93726762
1200003I07Rik	NM_181274	chr8	-	72229036	72240365
Col14a1	NM_181277	chr15	+	55139305	55352356
B230219D22Rik	NM_181278	chr13	+	55794482	55804861
Car5b	NM_181315	chrX	-	160414755	160465913
Bbs9	NM_181316	chr9	+	22280195	22692724
Bbs9	NM_178415	chr9	+	22280195	22692724
Kcns2	NM_181317	chr15	+	34767135	34772092
Tbx22	NM_181319	chrX	+	104874301	104884316
Tmc6	NM_181321	chr11	-	117636670	117641935
Ctcf	NM_181322	chr8	+	108160451	108206822
C130090K23Rik	NM_181323	chr5	+	73797332	73844664
Ddx6	NM_181324	chr9	+	44412974	44448814
Ddx6	NM_001110826	chr9	+	44412974	44448814
Ddx6	NM_007841	chr9	+	44412974	44448814
Slc25a15	NM_181325	chr8	-	23486478	23508962
Zfp521	NM_181326	chr18	-	13846724	14002918
Slc25a29	NM_181328	chr12	-	110064087	110074086
C1rl	NM_181344	chr6	+	124443161	124460661
Npm2	NM_181345	chr14	-	71047110	71052891
Dennd1b	NM_181347	chr1	+	140864297	141068489
Mustn1	NM_181390	chr14	+	31692442	31694796
Chchd7	NM_181391	chr4	+	3866076	3870670
Gtf2h5	NM_181392	chr17	+	6079865	6085485
Anapc13	NM_181394	chr9	+	102532091	102536571
Pxdn	NM_181395	chr12	+	30622915	30700724
Rftn1	NM_181397	chr17	-	50132631	50329822
Usp6nl	NM_181399	chr2	+	6273781	6364866
Wdr47	NM_181400	chr3	+	108394195	108448637
Tmem64	NM_181401	chr4	+	15192903	15212513
Parp11	NM_181402	chr6	+	127403645	127444257
Vps37c	NM_181403	chr19	+	10763304	10788909
Kank1	NM_181404	chr19	+	25311749	25508986
Rnpepl1	NM_181405	chr1	+	94807981	94817157
Rars2	NM_181406	chr4	+	34562263	34607413
Me3	NM_181407	chr7	+	96781327	97002869
Mtmr11	NM_181409	chr3	+	95965959	95975637
Gtf2h3	NM_181410	chr5	+	125029178	125046850
Aftph	NM_181411	chr11	-	20585087	20641474
Zbed4	NM_181412	chr15	+	88582140	88614946
Anks1	NM_181413	chr17	+	28046284	28199581
Pik3c3	NM_181414	chr18	+	30432549	30507774
Atrnl1	NM_181415	chr19	+	57685570	58207830
Arhgap11a	NM_181416	chr2	-	113671649	113688857
Csrp2bp	NM_181417	chr2	+	144194814	144233366
Ushbp1	NM_181418	chr8	-	73908172	73919700
BC050092	NM_181419	chr9	-	22051873	22064339
BC032265	NM_181420	chr11	+	121282842	121292077
Pkd2l1	NM_181422	chr19	-	44222129	44266898
Supv3l1	NM_181423	chr10	-	61892125	61912451
Gprc5a	NM_181444	chr6	+	135015707	135034719
Mtvr2	NM_181452	chr19	-	5728086	5729650
Ltv1	NM_181470	chr10	-	12898443	12912912
Cldn17	NM_181490	chr16	-	88506051	88507223
Taz	NM_181516	chrX	+	71528090	71535487
Ipo7	NM_181517	chr7	+	117161900	117198628
Syt15	NM_181529	chr14	+	35033232	35043607
Tm6sf2	NM_181540	chr8	+	72596821	72603951
Caprin2	NM_181541	chr6	-	148791033	148844704
Slfn10	NM_181542	chr11	-	82841629	82854035
Gpr151	NM_181543	chr18	-	42737673	42739306
Pkd1l3	NM_181544	chr8	+	112138416	112194621
Slfn8	NM_181545	chr11	-	82815678	82834312
Syt14	NM_181546	chr1	-	194723500	194861917
Nostrin	NM_181547	chr2	+	68973903	69027383
Eras	NM_181548	chrX	-	7501401	7505733
Mrcl	NM_181549	chr8	-	113593396	113605608
Dsg4	NM_181564	chr18	+	20594675	20630322
Mare	NM_181569	chr11	-	32132418	32167614
Ccdc85a	NM_181577	chr11	-	28288814	28484266
Pof1b	NM_181579	chrX	-	109752035	109812260
Eif5a	NM_181582	chr11	-	69730223	69734840
Gab3	NM_181584	chrX	-	72233888	72330244
Pik3r3	NM_181585	chr4	+	115894518	115975661
Sirt6	NM_181586	chr10	-	81084531	81090303
Cmbl	NM_181588	chr15	+	31498701	31519874
Ckap2l	NM_181589	chr2	-	129094616	129122877
Shq1	NM_181590	chr6	-	100523075	100621151
Txndc3	NM_181591	chr13	-	19736947	19789629
Itpkc	NM_181593	chr7	-	27992188	28013557
Edc4	NM_181594	chr8	+	108404806	108417107
Ppp1r9a	NM_181595	chr6	+	4853319	5115661
Retnlg	NM_181596	chr16	+	48872950	48874609
Ccdc75	NM_181649	chr17	+	79234937	79247648
Prdm4	NM_181650	chr10	-	85354712	85379653
Fuk	NM_181666	chr8	-	113406362	113426319
Dsg1c	NM_181680	chr18	+	20405840	20442424
BC005764	NM_181681	chr10	-	79327525	79337379
Dsg1b	NM_181682	chr18	+	20535335	20568242
Defb37	NM_181683	chr8	-	18986232	18991055
Art3	NM_181728	chr5	+	92760866	92843653
Muc6	NM_181729	chr7	-	148819726	148841219
Polr1d	NM_181730	chr5	+	147889123	147922935
Ttpal	NM_181734	chr2	+	163428050	163444749
Ttpal	NM_029512	chr2	+	163428050	163444749
Gpr120	NM_181748	chr19	+	38171568	38188753
Gpr142	NM_181749	chr11	+	114660237	114668059
R3hdm1	NM_181750	chr1	+	129999906	130134312
Gpr119	NM_181751	chrX	-	46021155	46027655
Gpr135	NM_181752	chr12	-	73170604	73172060
Opn5	NM_181753	chr17	-	42693731	42748262
Gpr141	NM_181754	chr13	-	19841550	19916126
Gstp2	NM_181796	chr19	-	4040287	4042221
4930534B04Rik	NM_181815	chr12	-	92236931	92622826
Ccdc67	NM_181816	chr9	-	15364307	15432377
Rxfp4	NM_181817	chr3	-	88455819	88457064
Wfikkn2	NM_181819	chr11	-	94098911	94103863
Tmc4	NM_181820	chr7	-	3617355	3629125
Hcfc1r1	NM_181821	chr17	+	23810578	23812491
Optn	NM_181848	chr2	-	4941687	4984984
Fgb	NM_181849	chr3	-	82846226	82853712
Grm3	NM_181850	chr5	-	9485235	9725352
Prl2c5	NM_181852	chr13	+	13275048	13284107
Trim66	NM_181853	chr7	-	116592516	116637252
Zfp828	NM_181854	chr8	+	13869734	13880569
Tmc8	NM_181856	chr11	+	117644363	117654342
Poln	NM_181857	chr5	-	34349846	34512086
Cd59b	NM_181858	chr2	+	103911166	103925114
Oxct2b	NM_181859	chr4	+	122793490	122795243
Mkl2	NM_181860	chr16	+	13265171	13333015
Rerg	NM_181988	chr6	-	137003345	137119018
Rdhe2	NM_181989	chr4	-	3923088	3946810
Vwa5b2	NM_182636	chr16	+	20589654	20598540
Hnrnpa2b1	NM_182650	chr6	-	51410930	51419844
Ggn	NM_182694	chr7	+	29955231	29958952
Ggn	NM_182696	chr7	+	29955408	29958931
Myo15	NM_182698	chr11	+	60282840	60341870
Myo15	NM_010862	chr11	+	60282840	60341870
Myo15	NM_001103171	chr11	+	60282840	60341870
Nfasc	NM_182716	chr1	-	134466565	134638355
1700028K03Rik	NM_182745	chr5	+	107963729	107977396
Klhl25	NM_182782	chr7	+	82993222	83012377
Fam167b	NM_182783	chr4	-	129254058	129255824
Lypd4	NM_182785	chr7	-	25649638	25654710
Gpt	NM_182805	chr15	+	76527193	76530105
Gpr18	NM_182806	chr14	-	122310655	122314996
Fam19a2	NM_182807	chr10	+	122701131	123178035
Fam19a1	NM_182808	chr6	+	96063147	96607191
Ntrk3	NM_182809	chr7	-	85445576	85722724
Tppp	NM_182839	chr13	+	74146925	74173201
Emilin3	NM_182840	chr2	-	160732173	160738055
BC062109	NM_182841	chr5	-	100506891	100588789
Spred3	NM_182927	chr7	-	29943847	29953666
Adm2	NM_182928	chr15	+	89153405	89155161
Rims3	NM_182929	chr4	+	120550473	120564165
Plekha6	NM_182930	chr1	+	135142682	135198226
Ppp4r2	NM_182939	chr6	+	100783631	100818711
Slc17a8	NM_182959	chr10	-	89036764	89083998
Ssrp1	NM_182990	chr2	+	84877445	84887268
Tmem59l	NM_182991	chr8	-	73007769	73011257
Slc17a7	NM_182993	chr7	+	52424927	52431509
Arl5a	NM_182994	chr2	-	52253470	52280401
6330503K22Rik	NM_182995	chr7	+	125856134	125880532
Prkab2	NM_182997	chr3	+	97462134	97476990
Rnf20	NM_182999	chr4	+	49644945	49669758
Accn3	NM_183000	chr5	+	23919268	23923652
Zfp184	NM_183014	chr13	+	22036962	22052354
Ccnb3	NM_183015	chrX	-	6556777	6618745
Cdc42bpb	NM_183016	chr12	-	112531190	112615570
Ttll12	NM_183017	chr15	-	83406239	83425553
Rims1	NM_183018	chr1	-	22278502	22812563
Rims1	NM_053270	chr1	-	22278502	22812563
Rims1	NM_001012625	chr1	-	22278502	22812563
Rims1	NM_001012624	chr1	-	22278502	22812563
Rims1	NM_001012623	chr1	-	22278502	22812563
Arhgef4	NM_183019	chr1	+	34858566	34869599
Atxn2l	NM_183020	chr7	-	133635221	133646730
Accn4	NM_183022	chr1	+	75447144	75470915
Rims4	NM_183023	chr2	-	163689616	163744419
Raver2	NM_183024	chr4	+	100741642	100824975
A430033K04Rik	NM_183025	chr5	+	139064086	139090054
Ap1s3	NM_183027	chr1	-	79603450	79668554
Pcmtd1	NM_183028	chr1	+	7079000	7163709
Igf2bp2	NM_183029	chr16	-	22059081	22163372
Gpr183	NM_183031	chr14	-	122351552	122364440
Rnase9	NM_183032	chr14	-	51658133	51661542
Zfp516	NM_183033	chr18	+	83125010	83172107
Plekhm1	NM_183034	chr11	-	103226405	103273995
Defb34	NM_183035	chr8	+	19123751	19126540
Defb38	NM_183036	chr8	-	19023463	19026529
Trim46	NM_183037	chr3	-	89038098	89049819
Defb39	NM_183038	chr8	-	19052825	19064810
Defb40	NM_183039	chr8	-	18974939	18978116
Kif20b	NM_183046	chr19	+	34996851	35050221
Fgf12	NM_183064	chr16	-	28160205	28445313
Mrps10	NM_183086	chr17	+	47506145	47515628
5730507A09Rik	NM_183087	chr7	-	71900981	72301414
2410018M08Rik	NM_183088	chr5	+	130371592	130379492
Dscc1	NM_183089	chr15	-	54907655	54922035
Nfkbil2	NM_183091	chr15	-	76456666	76470277
Xlr4c	NM_183094	chrX	-	70479414	70488469
Ttc29	NM_183096	chr8	+	80737240	80918225
1700067K01Rik	NM_183097	chr8	+	86525419	86528669
Tssk5	NM_183099	chr15	-	76202387	76205368
1700112C13Rik	NM_183103	chr9	+	110747009	110759026
Ttc17	NM_183106	chr2	-	94140922	94246833
Tmprss12	NM_183109	chr15	+	100111293	100123484
4930563M21Rik	NM_183111	chr9	-	55810395	55828739
4932414N04Rik	NM_183113	chr2	+	68495940	68586522
Ccdc125	NM_183115	chr13	+	101439467	101467195
1110021L09Rik	NM_183116	chr10	+	23516791	23547774
Defb41	NM_183124	chr1	-	18241060	18255219
6030498E09Rik	NM_183126	chrX	+	36125925	36315865
4930451I11Rik	NM_183131	chr7	-	133973987	133975010
Spink8	NM_183136	chr9	+	109719140	109729141
2410002I01Rik	NM_183137	chr11	-	119951835	119960009
Pld6	NM_183139	chr11	-	59597394	59601182
Zfp691	NM_183140	chr4	-	118842126	118846461
Elfn2	NM_183141	chr15	-	78500436	78548543
Alg11	NM_183142	chr8	+	23171176	23178761
BC048679	NM_183143	chr7	-	88639160	88643167
Zfp748	NM_183145	chr13	-	67645890	67654033
A530054K11Rik	NM_183146	chr13	-	67717937	67738690
Sprn	NM_183147	chr7	-	147336526	147340548
Iffo2	NM_183148	chr4	+	139131050	139176297
Zfp598	NM_183149	chr17	+	24806681	24818961
Mid1	NM_183151	chrX	+	166317553	166428729
6330514A18Rik	NM_183152	chr10	+	79819232	79828226
Zfyve1	NM_183154	chr12	-	84887890	84938067
Cyp2ab1	NM_183158	chr16	-	20308459	20325477
E030010A14Rik	NM_183160	chr19	+	24748497	24754151
1700019H03Rik	NM_183161	chr2	+	180459944	180476983
BC006779	NM_183162	chr2	-	180962319	180976732
Rhbdl2	NM_183163	chr4	+	123465094	123507147
Pyroxd1	NM_183165	chr6	+	142294197	142311144
EG233164	NM_183166	chr7	+	48288088	48300672
AI987944	NM_183167	chr7	-	48629157	48648717
P2ry6	NM_183168	chr7	-	108086147	108112876
BC051227	NM_183170	chr8	-	73282547	73284826
Fez1	NM_183171	chr9	+	36651243	36686225
Ric8b	NM_183172	chr10	+	84380408	84479192
Ankrd43	NM_183173	chr11	-	53290079	53293697
Homez	NM_183174	chr14	-	55471573	55479327
C1qtnf9	NM_183175	chr14	+	61386970	61399705
Zfp811	NM_183177	chr17	-	32933955	32946860
Fsd1	NM_183178	chr17	+	56125927	56136304
Kcnv2	NM_183179	chr19	+	27397108	27411669
Tspan18	NM_183180	chr2	-	93041916	93174644
BC050777	NM_183181	chr2	+	181227914	181229682
BC055111	NM_183182	chr4	-	106263513	106289745
Gprin3	NM_183183	chr6	-	59302454	59376284
Zfp300	NM_183185	chrX	-	20656275	20666355
Foxn3	NM_183186	chr12	-	100433303	100688284
Fam107a	NM_183187	chr14	-	9128791	9142290
A2bp1	NM_183188	chr16	+	7069927	7410059
Ms4a5	NM_183190	chr19	-	11348355	11358303
Plch1	NM_183191	chr3	-	63500158	63654961
Foxi2	NM_183193	chr7	+	142602049	142605298
Gsdmc3	NM_183194	chr15	-	63689281	63710113
Serpinb9f	NM_183197	chr13	+	33415945	33427235
Usp44	NM_183199	chr10	+	93294299	93311283
Slfn5	NM_183201	chr11	+	82765603	82776443
Rnf182	NM_183204	chr13	+	43711351	43764272
Zmiz1	NM_183208	chr14	+	26278777	26484195
Scd4	NM_183216	chr19	+	44407815	44421233
Accs	NM_183220	chr2	-	93675609	93689933
Fat4	NM_183221	chr3	+	38785861	38910905
Fcrl5	NM_183222	chr3	+	87239703	87271446
Fam19a3	NM_183224	chr3	-	104570323	104580465
Nkx6-2	NM_183248	chr7	-	146765197	146768692
